MachineName,MachineID,MaintenanceDate,MaintenanceDetails,Active
CNC Machine,1,2025-08-01,Oil Change,1
Drill Press,2,2025-08-03,Blade Replacement,1
Lathe,3,2025-08-05,Chuck Cleaning,1
Milling Machine,4,2025-08-07,Coolant Flush,1
Grinder,5,2025-08-09,Wheel Dressing,1
Hydraulic Press,6,2025-08-10,Seal Inspection,1
Welding Station,7,2025-08-11,Torch Calibration,1
Air Compressor,8,2025-08-12,Filter Replacement,1
3D Printer,9,2025-08-13,Nozzle Change,1
Conveyor,10,2025-08-14,Belt Tension Adjust,1
Robot Arm,11,2025-08-15,Joint Lubrication,1
Forklift,12,2025-08-16,Battery Maintenance,1
Packaging Line,13,2025-08-17,Sensor Alignment,1
Cutting Saw,14,2025-08-18,Guide Rail Cleaning,1
Heat Treatment,15,2025-08-19,Thermocouple Check,1
CMM,16,2025-08-20,Probe Recalibration,1
